Eliminación directa
Torneo: Playoffs Futbol americano
Organizador: NFL
Fecha de inicio: sábado 9 de enero de 2016
Fecha de fin: domingo 24 de enero de 2016
Playoffs 2015-2016 de conferencia americana
Tabla de resultados Ronda: 1

Núm.,local,Resultado,Núm.,visitante,Fecha del encuentro
4,Cincinatti,[perdedor - ganador],1,Pittsburgh,sábado 9 de enero de 2016
3,Houston,[perdedor - ganador],2,Kansas City,sábado 9 de enero de 2016
